"key","it"
"INTRO3-7_ZERO","La gente pensa ancora che sia basato su Boba Fett? Ma dai. Vado al bar, divertitevi col mio amichetto ahahah"
"INTRO3-8_ZERO","Ah ah ah ah ah ah ah ah ah ah!"
"ANTONION1_ZERO","Formica Pesante. Eri uno scienziato incredibile, ma sembra che sei Maverick adesso."
"ANTONION2_ZERO","Incredibile? Maverick? Cosa significano queste parole?"
"ANTONION3_ZERO","Chiedi a uno piu' furbo di me. Sigma ti ha fatto cosi'?"
"ANTONION4_ZERO","Ha costretto te e gli altri a diventare Maverick?"
"ANTONION5_ZERO","Pensi di poter riassumere il mio maestro con quella parola?"
"ANTONION6_ZERO","La nostra onesta' e' pari alla tua suprema stupidita'."
"ANTONION7_ZERO","Comunque, se non capisci il nostro piano, ti distruggo!"
"MANOWAR1_ZERO","Ehi! Medusa Gigavolt!"
"MANOWAR2_ZERO","Riporta la corrente alla normalita'. Adesso!"
"MANOWAR3_ZERO","... ... ..."
"MANOWAR4_ZERO","Cosi' andato che non riesce nemmeno a rispondere..."
"MANOWAR5_ZERO","Non sono un Maverick... Non sto facendo niente di male..."
"MANOWAR6_ZERO","Il mio maestro ha bisogno di energia per il nuovo mondo."
"MANOWAR7_ZERO","Mandare in tilt la corrente? Come si inserisce nel piano di Sigma?"
"MANOWAR8_ZERO","Sto solo lavorando per realizzare il sogno del maestro. Non ha torto."
"MANOWAR9_ZERO","Un nuovo mondo?! Il piano finisce qui!"
"MANOWAR10_ZERO","Devo darti una lezione!"
"MANTIS1_ZERO","Oho. Guarda chi c'e'. Sei Zero, giusto?"
"MANTIS2_ZERO","Se mi conoscessi davvero, staresti tremando."
"MANTIS3_ZERO","Voi vecchi modelli non capite proprio niente."
"MANTIS4_ZERO","Cosa intendi, Maverick?"
"MANTIS5_ZERO","Potevi essere un grande generale. Il mio maestro e' molto interessato a te."
"MANTIS6_ZERO","Hmph! Non mi interessa unirmi ai Maverick."
"MANTIS7_ZERO","E non preoccuparti... Andro' dal tuo capo appena ho finito con te."
"PANDA1_ZERO","Non hai mai pensato certe cose tu stesso, Zero?"
"PANDA2_ZERO","Che il mondo desidera solo distruzione?"
"PANDA3_ZERO","E' quello che dice Sigma?"
"PANDA4_ZERO","Forse. Il maestro ha visto qualcosa di se' dentro di te..."
"PANDA5_ZERO","Dai, smettila..."
"PANDA6_ZERO","Il mondo perfetto di cui parlate voi Maverick non esiste."
"PANDA7_ZERO","No, non esiste."
"PANDA8_ZERO","Per questo dobbiamo distruggere questo."
"PANDA9_ZERO","Quello che finira', Zero, e' questo mondo."
"ROOSTER1_ZERO","Perche' hai iniziato una rivolta? E' opera di Sigma?"
"ROOSTER2_ZERO","Sai cos'e' questo posto?"
"ROOSTER3_ZERO","Il centro smaltimento..."
"ROOSTER4_ZERO","Dopo che ti avro' fatto a pezzi, ti buttero' qui."
"ROOSTER5_ZERO","Li senti, Zero?"
"ROOSTER6_ZERO","Le grida di tutti i Reploid che hai mandato qui perche' li hai dichiarati Maverick?"
"ROOSTER7_ZERO","Whoa? Se senti tutto questo, anche tu sei Maverick!"
"ROOSTER8_ZERO","Ah! Vedrai presto chi ha ragione e chi torto."
"ROOSTER9_ZERO","Non riderai quando il nuovo mondo diventera' realta'!"
"SUNFLOWER1_ZERO","Zero... Sicuramente hai capito."
"SUNFLOWER2_ZERO","Avrai un'idea di cosa cerchiamo."
"SUNFLOWER3_ZERO","Cosa ne so io di come pensano i Maverick?"
"SUNFLOWER4_ZERO","No! No! No! Non siamo i buoni, ma non siamo mostri."
"SUNFLOWER5_ZERO","Il maestro ti ricorda bene. Potevi diventare il distruttore supremo. Roba vecchia."
"SUNFLOWER6_ZERO","Eh... E' completamente fuori di testa."
"TRILOBYTE1_ZERO","I minerali che estraiamo sono essenziali per lo sviluppo spaziale."
"TRILOBYTE2_ZERO","Ma immagino che a te non importi molto, Zero."
"TRILOBYTE3_ZERO","Li estrai per Sigma? Sei pazzo?"
"TRILOBYTE4_ZERO","Hai pensato al perche' il mio maestro vuole queste risorse?"
"TRILOBYTE5_ZERO","Non devo capire il piano per sapere che puzza. Non ti lascio fare!"
"TRILOBYTE6_ZERO","Hmph! Non mi faccio insultare da un rottame!"
"TRILOBYTE7_ZERO","Dovrai rispondere al mio maestro prima o poi!"
"YETI1_ZERO","Zero. Il mio maestro vede un posto per te nel nuovo mondo."
"YETI2_ZERO","Cosa vedete in me voi Maverick? A parte una potenziale bastonata?"
"YETI3_ZERO","Sei davvero un vecchio modello. Con quel pensiero non cambi il mondo."
"YETI4_ZERO","Cambiare il mondo? Con la distruzione? Tipico dei Maverick."
"YETI5_ZERO","Il tuo mondo... I tuoi ideali... Incomprensibili per il maestro."
"VILE1-1_ZERO","Vile!"
"VILE1-2_ZERO","Che vuoi fare con l'Ascensore e Lumine?"
"VILE1-3_ZERO","Lumine? Ah ah ah... Non preoccuparti. Ce ne prendiamo cura."
"VILE1-4_ZERO","L'Ascensore e' troppo importante per fare del male a chi lo gestisce."
"VILE1-5_ZERO","Quel giocattolo e' troppo complicato per Maverick come te."
"VILE1-6_ZERO","Ah ah ah... Mi sei mancato, Zero."
"VILE1-7_ZERO","Che dici, festeggiamo questa riunione con un bicchiere?"
"VILE2-1_ZERO","Vile!"
"VILE2-2_ZERO","E' ora di consegnare Lumine. Stavolta non accetto un no."
"VILE2-3_ZERO","Lumine? Pensi di poter fare richieste?"
"VILE2-4_ZERO","Guardati intorno! Il tuo mondo sta crollando!"
"VILE2-5_ZERO","Il tuo mondo? I Maverick? Addio a tutto!"
"VILE2-6_ZERO","Caos, distruzione! Siamo nati per questo!"
"VILE3-1_ZERO","Non ti stanchi mai della storia della """"giustizia""""?"
"VILE3-2_ZERO","Non ti stanchi di essere il cagnolino di Sigma?"
"VILE3-3_ZERO","L'Ascensore... l'energia... i minerali... i dati dei razzi..."
"VILE3-4_ZERO","La strada per lo spazio..."
"VILE3-5_ZERO","La cosa che tiene in vita questo mondo e' nostra!"
"VILE3-6_ZERO","Come puoi prendere sul serio il mondo quando sta per finire?"
"VILE3-7_ZERO","Hmph! Prima mi occupo di te, poi del tuo capo!"
"VILE4-1_ZERO","Ancora non ti arrendi?"
"VILE4-2_ZERO","Sei cieco da credere nella speranza?"
"VILE4-3_ZERO","Lotta?"
"VILE4-4_ZERO","Sono solo stanco di incontrare te e Sigma ad ogni angolo."
"VILE4-5_ZERO","Ah ah ah... Sarebbe uno spreco distruggerti adesso."
"VILE4-6_ZERO","Forse aspetto l'ultimo momento e mi diverto un po'."
"COPYSIGMA1_ZERO","Sigma!?"
"COPYSIGMA2_ZERO","Non ero ansioso di rivederti."
"COPYSIGMA3_ZERO","Zero. Che peccato... Avevi le capacita' per diventare come me."
"COPYSIGMA4_ZERO","Tu... Hai cercato di usare il mio DNA."
"COPYSIGMA5_ZERO","Ti faccio vedere cosa succede quando ti metti contro di me!"
"COPYSIGMA6_ZERO","Temo di no. La Luna e' sotto controllo e il piano e' alla fase finale."
"COPYSIGMA7_ZERO","Il momento della fine del mondo e' arrivato!"
"SIGMA1_ZERO","Zero... Chi avrebbe immaginato che ci saremmo incontrati alla fine del mondo."
"SIGMA2_ZERO","Quando il tuo virus e' entrato nel mio sistema, il seme e' stato piantato."
"SIGMA3_ZERO","E' li' che tutto e' iniziato... La distruzione del mondo!"
"SIGMA4_ZERO","Ho sentito abbastanza spazzatura, Sigma."
"SIGMA5_ZERO","Non arrabbiarti, Zero. Ti sono grato."
"SIGMA6_ZERO","Grazie a te i miei figli hanno potuto creare il nuovo mondo nello spazio."
"SIGMA7_ZERO","Figli?"
"SIGMA8_ZERO","Esatto. I Reploid Nuova Gen del Progetto Jakob hanno tutti chip con i miei dati."
"SIGMA9_ZERO","Il piano per distruggere il mondo che ami sta per compiersi!"
"SIGMA10_ZERO","Non piango per te e i tuoi!"
"SIGMA11_ZERO","La fine del mondo e tua e' arrivata! Addio!"
"SIGMA12_ZERO","Sigma... Finche' sono in funzione, non avrai il tuo lieto fine!!!"
"FINALLUMINE1_ZERO","Sei Lumine! Il direttore del Progetto Jakob. Stai bene?"
"FINALLUMINE2_ZERO","Se sto bene? Ma certo."
"FINALLUMINE3_ZERO","Hai sconfitto Sigma, suppongo che sei soddisfatto."
"FINALLUMINE4_ZERO","Grazie a te, il piano e' andato liscio."
"FINALLUMINE5_ZERO","Piano? Cosa intendi? Non eri usato da Sigma?"
"FINALLUMINE6_ZERO","Usato? Non credo."
"FINALLUMINE7_ZERO","Lui ha solo aiutato il mio piano."
"FINALLUMINE8_ZERO","I Reploid Nuova Gen si sono risvegliati e il nuovo mondo arriva!"
"FINALLUMINE9_ZERO","Lumine? Che dici? Sei Maverick anche tu?"
"FINALLUMINE10_ZERO","Maverick? Non pensi davvero cosi'?"
"FINALLUMINE11_ZERO","Per questo non riesci a finirmi, vero? Non ce l'hai... Non sei tu quello giusto."
"FINALLUMINE12_ZERO","Eh?"
"FINALLUMINE13_ZERO","I vecchi modelli devono preoccuparsi se le loro azioni sono davvero le loro."
"FINALLUMINE14_ZERO","Chi sa cosa ti sta influenzando? Un fantasma forse?"
"FINALLUMINE15_ZERO","Ma noi Reploid Nuova Gen siamo costruiti con dati di centinaia di vecchi Reploid."
"FINALLUMINE16_ZERO","Immunita' totale ai virus. Libero arbitrio! Le nostre scelte sono nostre!"
"FINALLUMINE17_ZERO","Ovviamente Sigma era nel mix. Capisci?"
"FINALLUMINE18_ZERO","Nessun Reploid sceglierebbe la pazzia di Sigma!"
"FINALLUMINE19_ZERO","Si', si e' ribellato. Forse per un virus."
"FINALLUMINE20_ZERO","Forse Sigma aveva ragione. L'origine di tutto sei tu, Zero."
"FINALLUMINE21_ZERO","Grazie a te noi Reploid Nuova Gen siamo quello che siamo."
"FINALLUMINE22_ZERO","Dovresti ringraziarci per aver fatto capire a tutti quanto il mondo sia marcio."
"FINALLUMINE23_ZERO","Gli umani usano i Reploid per perpetuare il loro maledetto ciclo..."
"FINALLUMINE24_ZERO","Per questo la nostra decisione e' stata consapevole."
"FINALLUMINE25_ZERO","In altre parole, possiamo diventare Maverick a volonta'!"
"FINALLUMINE26_ZERO","......"
"FINALLUMINE27_ZERO","Zero... Puoi davvero fermarci?"
"FINALLUMINE28_ZERO","Sei solo uno strumento degli umani. Nient'altro..."
"FINALLUMINE29_ZERO","Pensi di poter affrontare con la tua spada chi si e' evoluto cosi'?"
"FINALLUMINE30_ZERO","Ah ah ah ah ah ah ah ah ah ah! Non sai nemmeno per cosa combatti!"
"FINALLUMINE31_ZERO","Fai l' """"Eroe"""" ma non sai che la fine del mondo e' gia' iniziata!"
"FINALLUMINE32_ZERO","Le tue azioni sono davvero per la """"giustizia""""? Noi siamo la vera giustizia!"
"FINALLUMINE33_ZERO","Il mondo cambia. L'evoluzione e' naturale!"
"FINALLUMINE34_ZERO","Adesso in fila, cosi' finisco la vostra sofferenza per sempre!"
"FINALLUMINE35_ZERO","Giustizia? Eroe? Chi ha detto che combatto per queste cose?"
"FINALLUMINE36_ZERO","Combatto per quello che credo giusto e per chi crede nella speranza."
"FINALLUMINE37_ZERO","Sei il nemico... E non esitero' a tagliarti!"
"FINALLUMINE38_ZERO","Nemico, alleato... Non e' cosi' semplice."
"FINALLUMINE39_ZERO","Reploid e umanita' sono cambiati irrevocabilmente."
"FINALLUMINE40_ZERO","La natura della loro esistenza e' cambiata. Non servi nel nuovo mondo!"
"FINALLUMINE41_ZERO","Puoi dire quello che vuoi, ma non ti lascio scappare!"
"SECRET2-1_ZERO","Benvenuto Zero, e' un piacere conoscerti."
"SECRET2-2_ZERO","Eh? Oh, grazie. Non sembri un Maverick come gli altri."
"SECRET2-3_ZERO","Sento qualcosa... di pacifico vicino a te. Chi sei?"
"SECRET2-4_ZERO","Molto perspicace."
"SECRET2-5_ZERO","Sono Serenade."
"SECRET2-6_ZERO","Hai detto che sono diverso?"
"SECRET2-7_ZERO","E' per il mio potere travolgente."
"SECRET2-8_ZERO","Travolgente?"
"SECRET2-9_ZERO","La mia forza non e' aggressione. Mi alleno da quando ho perso il titolo di UnderKing."
"SECRET2-10_ZERO","Ora che ti ho davanti, sento che sei... familiare."
"SECRET2-11_ZERO","Hmm?"
"SECRET2-12_ZERO","Forse... sei tu quello destinato a distruggerci?"
"SECRET2-13_ZERO","Cosa? Cosa sai di me? Dimmi subito!"
"SECRET2-14_ZERO","Perche' non combatti e lo scopri?"
"SECRET2-15_ZERO","Per vent'anni ho accumulato potere. Ti ho scelto per il test."
"SECRET2-16_ZERO","Serenade, giusto?"
"SECRET2-17_ZERO","Va bene, accetto. Facciamolo!"
"SECRET2-18_ZERO","Cosi' sia, vieni Zero! Mostrami la tua forza!"
"SECRET2-19_ZERO","Pensavo di essere abbastanza forte. Mi sbagliavo."
"SECRET2-20_ZERO","Osservando il tuo stile, non sembri come """"lui""""."
"SECRET2-21_ZERO","Siete simili, ma tu sai per cosa combatti."
"SECRET2-22_ZERO","Stai dicendo che esiste un mio opposto?"
"SECRET2-23_ZERO","Si', ma temo che sara' sconfitto da """"un altro guerriero"""" come me."
"SECRET2-24_ZERO","Hai combattuto bene, Zero. L'avversario piu' forte che abbia incontrato."
"SECRET2-25_ZERO","Non ho ricompense... Solo la mia gratitudine."
"SECRET2-26_ZERO","Heh, non preoccuparti. Il fatto che non sei Maverick e' gia' una ricompensa."
"SECRET2-27_ZERO","Forse ci rivedremo. Arrivederci, Zero."
"SECRET2-28_ZERO","E ricorda, pensa a per cosa combatti davvero."
"SECRET2-29_ZERO","..."
"SECRET3-1_ZERO","T... Tu!"
"SECRET3-2_ZERO","Oh, sei tu, combattevi con Axl contro di noi, vero?"
"SECRET3-3_ZERO","Fermo! Quest'area e' per Cacciatori Classe S. Consegna quei dati!"
"SECRET3-4_ZERO","Non capisci? Con questi possiamo cacciare Maverick meglio dei Cacciatori."
"SECRET3-5_ZERO","Hai combattuto tanto. Potremmo aiutarti, ma a pagamento."
"SECRET3-6_ZERO","Pensi che affrontare i Maverick sia un gioco? Un cacciatore di taglie come te?"
"SECRET3-7_ZERO","Hmph, sei davvero un Cacciatore Classe S."
"SECRET3-8_ZERO","Perche' non mi affronti? Vediamo se sei ancora spietato."
"SECRET3-9_ZERO","Si comincia?"
"SECRET3-10_ZERO","Tch, non male... Per un veterano..."
"SECRET3-11_ZERO","Se ti metti in mezzo un'altra volta, ti faccio a pezzi."
"SECRET3-12_ZERO","E Axl sarebbe deluso se il suo mentore non imparasse dagli errori."
"SECRET3-13_ZERO","Ah ah ah... Forse avevi ragione."
"SECRET3-14_ZERO","La prossima volta non sara' cosi' facile. Addio Zero... Abbi cura del ragazzo."
"SECRET3-15_ZERO","..."
"FINAL-6","Ricevuto!"
"VILE4-6_AXL","Forse aspetto l'ultimo momento e mi diverto un po'."
"SUNFLOWER_ZERO_WEAPON","Tenshouha\n(Onda di Luce Celeste)"
"ANTONION_ZERO_WEAPON","Juuhazan\n(Onda Pesante della Lama)"
"MANTIS_ZERO_WEAPON","Rasetsusen\n(Vortice del Tempio)"
"MANOWAR_ZERO_WEAPON","Raikousen\n(Lampo del Fulmine)"
"PANDA_ZERO_WEAPON","Youdantotsu\n(Taglio della Foglia)"
"TRILOBYTE_ZERO_WEAPON","Rekkyoudan\n(Taglio dello Specchio)"
"YETI_ZERO_WEAPON","Hyouryushou\n(Drago di Ghiaccio)"
"ROOSTER_ZERO_WEAPON","Enkoujin\n(Lama di Fiamma)"
"ZERONORMAL_NAME","Corpo Normale"
"ZERONORMAL_DISC","Senza abilita' speciali."
"ZEROBLACK_NAME","???"
"ZEROBLACK_DISC","Buff su tutto."
"NEXT_CHARACTER_NAME","PROSSIMO"
"NEXT_CHARACTER_DISC","Cambia al prossimo personaggio"
"PREV_CHARACTER_NAME","PRECEDENTE"
"PREV_CHARACTER_DISC","Cambia al personaggio precedente"
"ZEROBODY_NAME","Corpo Base"
"ZEROBODY_DESC","15% riduzione danni"
"X_LEFT_TITLE_1","Casco:"
"X_LEFT_DESC_1","Sistema DNA Copy per X Buster"
"X_LEFT_TITLE_2","Braccia:"
"X_LEFT_DESC_2","X-Buster MK17, spara energia solare caricabile."
"X_LEFT_TITLE_3","Corpo:"
"X_LEFT_DESC_3","Lega Titanio X, altamente resistente ai danni."
"X_LEFT_TITLE_4","Gambe:"
"X_LEFT_DESC_4","Sistema Air Dash per il viaggio aereo."
"X_RIGHT_DESC","Il capolavoro del Dr. Light. L'origine di tutti i Reploid.\n\nUn Cacciatore tutto fare che attacca a distanza.\n\n\nBuona scelta per i principianti."
"ZERO_LEFT_TITLE_1","Casco:"
"ZERO_LEFT_DESC_1","Impara nuove tecniche dal combattimento."
"ZERO_LEFT_TITLE_2","Z-Saber:"
"ZERO_LEFT_DESC_2","Spada laser per combo multi-colpo."
"ZERO_LEFT_TITLE_3","Corpo:"
"ZERO_LEFT_DESC_3","Migliora mobilita' e potenzia l'energia."
"ZERO_LEFT_TITLE_4","Walzer Aereo:"
"ZERO_LEFT_DESC_4","Secondo salto in aria con propulsori."
"ZERO_RIGHT_DESC","Guida i Cacciatori in assenza di X. Legato al Virus Sigma.\n\nPotente combattente corpo a corpo.\n\nBuona scelta per giocatori esperti."
"AXL_LEFT_TITLE_1","Chip Copia:"
"AXL_LEFT_DESC_1","Permette ad Axl di copiare abilita' nemiche."
"AXL_LEFT_TITLE_2","Axl Bullet:"
"AXL_LEFT_DESC_2","Spara proiettili potenti rapidamente."
"AXL_LEFT_TITLE_3","Telaio Leggero:"
"AXL_LEFT_DESC_3","Aumenta mobilita' e abilita' di schivata."
"AXL_LEFT_TITLE_4","Hover:"
"AXL_LEFT_DESC_4","Permette di fluttuare in aria. (Tieni Tiro + Salto per fluttuare sparando)"
"AXL_RIGHT_DESC","Prototipo Reploid Nuova Gen con chip copia, origini sconosciute.\n\nCacciatore agile che schiva gli attacchi.\n\nBuona scelta per giocatori adattabili."
"GAME_START_X","GIOCA CON X"
"GAME_START_AXL","GIOCA CON AXL"
"GAME_START_ZERO","GIOCA CON ZERO"
"SUBTANK_NAME","Sub Tank"
"SUBTANK_DISC","Riserva per le emergenze"
"HEARTS_NAME","Life Up"
"HEARTS_DISC","Aumenta la tua Vita"
"BLACKZEROHEAD_NAME","Testa Nera"
"BLACKZEROHEAD_DISC","Attacchi curano danni"
"BLACKZEROBODY_NAME","Corpo Nero"
"BLACKZEROBODY_DISC","Niente rinculo, 15% riduzione danni"
"BLACKZEROARM_NAME","Braccia Nere"
"BLACKZEROARM_DISC","20% piu' danni, abilita' migliorate"
"BLACKZEROLEG_NAME","Gambe Nere"
"BLACKZEROLEG_DISC","Piu' veloce, salto extra in aria"
"AXLWHITEHEAD_NAME","Testa Bianca"
"AXLWHITEHEAD_DISC","I proiettili ti curano"
"AXLWHITEBODY_NAME","Corpo Bianco"
"AXLWHITEBODY_DISC","Niente rinculo, 30% riduzione danni"
"AXLWHITEARM_NAME","Braccia Bianche"
"AXLWHITEARM_DISC","Costo munizioni ridotto 50%"
"AXLWHITELEG_NAME","Gambe Bianche"
"AXLWHITELEG_DISC","Hover infinito, piu' veloce, dash verticale"
"ULTIMATE_SET_NAME","Nova Strike"
"ULTIMATE_SET_DISC","Vai avanti e distruggi tutto"
"ICARUS_SET_NAME","Giga Crash"
"ICARUS_SET_DISC","Colpisce tutti i nemici sullo schermo."
"HERMES_SET_NAME","X Drive"
"HERMES_SET_DISC","Invincibile per un breve periodo."
"CANCEL_ACT","Annulla"
"BETAZERO_NAME","Zero (Beta)"
"BETAZERO_DISC","Gioca come Zero Beta (Il gioco potrebbe crashare)"
"CUSTOMZERO_NAME","Custom Zero"
"CUSTOMZERO_DISC","Personalizza i colori nella cartella salvataggio, piu' forte del nero"
"ZEROHEAD_NAME","Pezzo Testa"
"ZEROHEAD_DESC","Impara nuove tecniche"
"ZEROARMS_NAME","Pezzo Braccia"
"ZEROARMS_DISC","Z-Saber e altri arsenali"
"ZEROLEGS_NAME","Pezzo Gambe"
"ZEROLEGS_DISC","Doppio Salto e Air Dash"
"AXLHEAD_NAME","Pezzo Testa"
"AXLHEAD_DISC","Puo' trasformarsi in altri Reploid."
"AXLBODY_NAME","Pezzo Corpo"
"AXLBODY_DISC","Mossa Rotolamento Tattico"
"AXLARMS_NAME","Pezzo Braccia"
"AXLARMS_DISC","Pistola con proiettili energetici"
"AXLLEGS_NAME","Pezzo Gambe"
"AXLLEGS_DISC","Hover e Air Dash"
"JOKE_MODE_OPTION","Modo Meme"
